id;jee;ciudad
01;BAGUA;BAGUA
02;CHACHAPOYAS;CHACHAPOYAS
03;HUARAZ;HUARAZ
04;HUARI;HUARI
05;SANTA;SANTA
06;ABANCAY;ABANCAY
07;ANDAHUAYLAS;ANDAHUAYLAS
08;AREQUIPA 1;AREQUIPA
09;AREQUIPA 2;AREQUIPA
10;CAYLLOMA;CAYLLOMA
11;HUAMANGA;HUAMANGA
12;CANGALLO;CANGALLO
13;LUCANAS;LUCANAS
14;CAJAMARCA;CAJAMARCA
15;CHOTA;CHOTA
16;JAEN;JAEN
17;CALLAO;CALLAO
18;CUSCO;CUSCO
19;CANCHIS;CANCHIS
20;HUANCAVELICA;HUANCAVELICA
21;HUANUCO;HUANUCO
22;HUAMALIES;HUAMALIES
23;LEONCIO PRADO;LEONCIO PRADO
24;ICA;ICA
25;HUANCAYO;HUANCAYO
26;CHANCHAMAYO;CHANCHAMAYO
27;TRUJILLO;TRUJILLO
28;PACASMAYO;PACASMAYO
29;SANCHEZ CARRION;SANCHEZ CARRION
30;CHICLAYO;CHICLAYO
31;LAMBAYEQUE;LAMBAYEQUE
32;LIMA CENTRO 1;LIMA
33;LIMA CENTRO 2;LIMA
34;LIMA ESTE 1;LIMA
35;LIMA ESTE 2;LIMA
36;LIMA NORTE 1;LIMA
37;LIMA NORTE 2;LIMA
38;LIMA NORTE 3;LIMA
39;LIMA OESTE 1;LIMA
40;LIMA OESTE 2;LIMA
41;LIMA OESTE 3;LIMA
42;LIMA SUR 1;LIMA
43;LIMA SUR 2;LIMA
44;HUAURA;HUAURA
45;CAÑETE;CAÑETE
46;HUAROCHIRI;HUAROCHIRI
47;MAYNAS;MAYNAS
48;ALTO AMAZONAS;ALTO AMAZONAS
49;TAMBOPATA;TAMBOPATA
50;MARISCAL NIETO;MARISCAL NIETO
51;PASCO;PASCO
52;PIURA 1;PIURA
53;PIURA 2;PIURA
54;SULLANA;SULLANA
55;PUNO;PUNO
56;SAN ROMAN;SAN ROMAN
57;SAN MARTIN;SAN MARTIN
58;TACNA;TACNA
59;TUMBES;TUMBES
60;CORONEL PORTILLO;CORONEL PORTILLO